"","sid","frame_size","magnitude","task"
"517","30913my","Small",2.59754845336113,"combined_saccade"
"518","30913my","Medium",2.04335835440886,"combined_saccade"
"519","30913my","Large",1.52201150809746,"combined_saccade"
"520","30913my","Extra Large",0.783165169271152,"combined_saccade"
"521","30914ms","Small",2.28211776219664,"combined_saccade"
"522","30914ms","Medium",0.882981148977739,"combined_saccade"
"523","30914ms","Large",1.60821508513177,"combined_saccade"
"524","30914ms","Extra Large",1.32442914663208,"combined_saccade"
"525","30915vb","Small",1.37918476574508,"combined_saccade"
"526","30915vb","Medium",0.319791401141316,"combined_saccade"
"527","30915vb","Large",0.911320895865417,"combined_saccade"
"528","30915vb","Extra Large",0.885530500896837,"combined_saccade"
"529","31006st","Small",-0.261053212729829,"combined_saccade"
"530","31006st","Medium",0.444974960804185,"combined_saccade"
"531","31006st","Large",-3.39838228795616,"combined_saccade"
"532","31006st","Extra Large",4.37977717312229,"combined_saccade"
"533","31013kt","Small",2.07680661708737,"combined_saccade"
"534","31013kt","Medium",0.419267265750286,"combined_saccade"
"535","31013kt","Large",-0.750198955330341,"combined_saccade"
"536","31013kt","Extra Large",-0.412790398703747,"combined_saccade"
"537","31016cm","Small",1.83569763126233,"combined_saccade"
"538","31016cm","Medium",1.40286992957525,"combined_saccade"
"539","31016cm","Large",1.91468007978928,"combined_saccade"
"540","31016cm","Extra Large",1.87842975534739,"combined_saccade"
"541","31020md","Small",3.04150475573429,"combined_saccade"
